date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2023-03-24,15.56148,12.26638,37.05768,13.43404,27.15173,9.03232,50.47609,50.11676,51.78176,40.76183,61.31095,70.39122,51.55856,48.74099,39.55486,48.07415,21.63323,40.39671,47.47077,47.75655,42.18455,84.43149,29.58579,40.96024,9.23076,56,56.32096,79.00709,25.96777,61.60256,45.61797,68.1281,73.0337,64.56412,39.14539,56.37947,38.01299,76.46713
2023-03-25,11.92744,8.63245,40.52124,10.8182,26.59243,6.96547,41.58569,45.07239,46.40327,45.72445,53.30592,73.85892,58.02516,67.92438,43.50839,49.67082,13.75358,46.15384,48.58363,50.64415,39.13998,86.70148,56.80473,48.98724,11.92307,43.2,58.3838,58.29787,23.01736,67.52069,43.48314,67.13308,56.99693,73.54035,38.64831,49.10546,36.14911,67.01877
2023-03-26,10.01031,10.35301,44.32011,12.05515,28.67426,7.62036,53.7602,50.77066,53.50818,61.03951,60.169,82.15767,93.3785,79.23607,49.27762,58.32009,17.04871,44.12191,64.14118,63.08307,49.08976,99.6384,71.30177,59.11477,25.76923,37.6,70.51476,59.00709,25.75852,74.05259,57.92134,78.57587,61.6956,84.06922,43.35149,56.94444,44.75034,71.12676
2023-03-27,9.02748,9.86354,40.83369,13.22112,30.45054,6.68779,75.63155,51.47127,57.33731,53.74866,72.4449,86.01066,73.61084,59.797,50.81999,55.83806,23.20916,47.16981,59.17266,55.84184,55.49278,74.08597,57.10059,65.64141,20.38461,50.4,62.98258,88.93617,25.04708,64.14212,55.89887,76.6791,72.93156,75.48115,42.1279,70.00941,51.50478,77.58215
2023-03-28,8.23879,9.15158,36.0162,10.36195,26.65458,6.38392,77.52623,57.30966,60.5135,52.21075,62.41863,72.88085,64.58857,54.73773,46.9836,53.48467,22.6361,43.58974,55.8678,52.02132,50.50219,71.45439,39.94082,45.83645,5.38461,47.2,48.48599,80.85106,19.06256,65.31336,53.14606,77.2699,69.96935,74.67248,39.26966,67.27871,49.7606,82.27699
2023-03-29,6.6614,11.48027,36.82779,11.08182,26.69601,7.40818,73.26564,59.78514,65.80345,51.52723,62.64702,74.27385,59.61277,52.69233,52.0695,52.3496,24.3553,46.39574,54.65377,51.71035,53.51537,72.51908,46.4497,56.93923,7.88461,55.6,52.61165,81.41843,22.07574,63.37068,56.51685,76.21268,61.28702,70.61297,40.67488,71.91619,51.82968,80.34037
2023-03-30,7.20135,13.37881,36.35532,12.75473,27.41066,8.69963,65.74523,55.95516,64.43116,48.309,65.70743,71.01363,60.50338,55.98512,60.9918,52.22096,27.65042,42.23512,57.03687,51.24389,44.50721,76.93852,47.92899,39.00975,7.5,50.8,49.45117,71.6312,19.94141,64.72211,48.08988,72.85447,74.66802,65.64774,39.29834,60.19303,46.40902,80.92723
2023-03-31,6.41266,17.01275,42.04155,19.75058,29.35784,12.5478,79.77555,62.30733,96.44754,50.59451,87.29016,62.44813,63.11713,75.98202,100,78.56223,49.28366,49.49201,88.46672,63.6828,57.25047,75.21092,44.97041,50.78769,4.61538,45.2,52.32778,69.78723,23.37309,62.31769,59.10112,66.449,65.16853,59.63124,48.60911,77.00094,53.52257,71.53755
2023-04-01,6.4794,36.65084,51.51776,41.28561,34.11703,25.7636,70.08841,100,100,100,90.56754,70.4505,76.18586,94.14271,79.79304,89.73136,50.71633,100,91.13084,62.54997,51.91462,82.26195,45.26627,84.84621,3.26923,30,100,53.47517,45.99288,70.54451,94.1573,64.21019,49.74463,72.56994,100,100,100,61.91314
2023-04-02,8.91221,12.19222,60.52023,14.60002,39.00569,15.98732,80.00388,49.6964,85.12616,52.35315,88.71759,92.85714,100,100,49.75595,85.10026,41.97707,44.94436,96.3017,68.79164,68.0477,94.19445,49.40828,42.23555,4.80769,32.8,62.52838,56.17021,36.40929,77.97173,46.17977,75.27985,56.28192,82.19311,35.41726,63.86534,71.75102,72.35915
